_id,article,name,photo,price,specifications,text,url
b5bbfa7e8a1bbee8d497d6a6dd3d15c35b0d2e4e509a03af1d8576839b7ab241,"[""Арт. 93864625""]","[""Топор СОЮЗ 1015-06-1000С""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864625.jpg"",""path"":""Топор СОЮЗ 1015-06-1000С/93864625.jpg"",""checksum"":""3ec4fcf5f4a343a8f3b85101392b2024"",""status"":""downloaded""}]",[840],"[{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-06-1000С Топор 1000 гр, ДЕРЕВЯННАЯ РУКОЯТКА, КОВАНАЯ СТАЛЬ СОЮЗ Топор с деревянной рукояткой используется для колки, рубки, тески древесины, вырубке в ней пазов. Его вес обеспечивает большую силу удара при работе. Длительный срок службы и безопасность. Топорище (голова) изготовлено из штампованной инструментальной стали высокого качества. Утолщение у основания рукоятки, покрытое не проскальзывающим лаком, предотвращает соскальзывание ладони при работе. Рукоятка имеет удобную форму, обеспечивает надёжный хват во время работы.""]","[""https://leroymerlin.ru/product/topor-soyuz-1015-06-1000s-93864625/""]"
d7ef5deac6332bd1dbc5e858e1caf56d52e2cd5498a19efd279f667660836720,"[""Арт. 93864623""]","[""Топор СОЮЗ 1015-05-600С""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864623.jpg"",""path"":""Топор СОЮЗ 1015-05-600С/93864623.jpg"",""checksum"":""a8b1100bdac8393dcbb70778d32ba8e5"",""status"":""downloaded""}]",[640],"[{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-05-600С Топор 600 гр, ОБРЕЗИНЕННАЯ РУКОЯТКА, ФИБЕРГЛАССОВОЕ ТОПОРИЩЕ СОЮЗ Топор изготовлен из кованой высококачественной стали, что обеспечивает сохранение формы на протяжении всего срока службы. Лезвие  закалено индукционным методом и держит заточку при самых тяжёлых условиях работы. Обрезиненная фиберглассовая рукоятка гасит вибрацию от удара и обеспечивает надёжный захват.""]","[""https://leroymerlin.ru/product/topor-soyuz-1015-05-600s-93864623/""]"
ec74493841dfc59dba5148ce5bc3f8783e282052a38aaca2316dad8e94535e91,"[""Арт. 93829740""]","[""Топор Park 600гр Премиум AXE6PR""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93829740.jpg"",""path"":""Топор Park 600гр Премиум AXE6PR/93829740.jpg"",""checksum"":""044c78b99ebd488c97d11e4247c1cef8"",""status"":""downloaded""}]",[630],"[{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Пластик"",""Марка"":""PARK"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""Материалы: боек —   закаленная кованая сталь; рукоятка — пластик + фибергласс + термопластичная резина.\nДлина рукоятки — 360 мм.\nЭргономичная фиберглассовая рукоять усилена пластиком. Вставка из термопластичной износоустойчивой\nрезины не даёт скользить рукам во время работы, обеспечивает комфортный захват инструмента.\nСкругленное лезвие имеет большую длину, так что помимо рубящего удара присутствует и режущая составляющая.\nПредназначен для рубки, колки и тески древесины при проведении плотничных работ.\nЛезвие топора защищено специальной накладкой\nБез упаковки.""]","[""https://leroymerlin.ru/product/topor-park-600gr-premium-axe6pr-93829740/""]"
60c0a90b569879c8ecfc982cded3bedad3f47b51406200932ba194b78c3c50ac,"[""Арт. 93864628""]","[""Топор Sturm! 1015-06-FR0600""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864628.jpg"",""path"":""Топор Sturm! 1015-06-FR0600/93864628.jpg"",""checksum"":""d2b809ab4c07f2fb51a6585a5ad76139"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864628_01.jpg"",""path"":""Топор Sturm! 1015-06-FR0600/93864628_01.jpg"",""checksum"":""9d76eb64cd19c957768a51b3a0f670d1"",""status"":""downloaded""}]",[790],"[{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.3"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-06-FR0600 Топор 600г. Кованый боек, полностью обрезин. рукоятка Sturm! Топор изготовлен из кованой высококачественной стали, что обеспечивает сохранение формы на протяжении всего срока службы. Усиленное лезвие  закалено индукционным методом и держит заточку при самых тяжёлых условиях работы. Полностью обрезиненная фиберглассовая рукоятка гасит вибрацию от удара и обеспечивает надёжный захват по всей длине. Специальное порошковое антикоррозионное покрытие топора увеличивает срок службы инструмента.""]","[""https://leroymerlin.ru/product/topor-sturm-1015-06-fr0600-93864628/""]"
7dab4e43ddd4723335cc9ad9b994aa93abfcb124c1642a133787b103c7c7bdc1,"[""Арт. 93864631""]","[""Топор Sturm! 1015-07-600""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864631.jpg"",""path"":""Топор Sturm! 1015-07-600/93864631.jpg"",""checksum"":""0552ae84e701bed7acce0c13ec6410de"",""status"":""downloaded""}]",[870],"[{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.0"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-07-600 Топор 600 гр, ''Tomahawk'', ФИБЕРГЛАССОВОЕ ТОПОРИЩЕ Sturm! Топор изготовлен из кованой высококачественной стали, что обеспечивает сохранение формы на протяжении всего срока службы. Усиленное лезвие  закалено индукционным методом и держит заточку при самых тяжёлых условиях работы. Обрезиненная фиберглассовая рукоятка гасит вибрацию от удара и обеспечивает надёжный захват. Специальное порошковое антикоррозионное покрытие топора увеличивает срок службы инструмента.""]","[""https://leroymerlin.ru/product/topor-sturm-1015-07-600-93864631/""]"
bb99aecacfded00a5f3342972e2c7553f8063bc7d5f6ab1b276d6a095ff076f6,"[""Арт. 93864624""]","[""Топор СОЮЗ 1015-05-800С""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864624.jpg"",""path"":""Топор СОЮЗ 1015-05-800С/93864624.jpg"",""checksum"":""be5ebc46ae5167e096000ca172f6a7ac"",""status"":""downloaded""}]",[770],"[{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.1"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-05-800С Топор 800 гр, ОБРЕЗИНЕННАЯ РУКОЯТКА, ФИБЕРГЛАССОВОЕ ТОПОРИЩЕ СОЮЗ Топор изготовлен из кованой высококачественной стали, что обеспечивает сохранение формы на протяжении всего срока службы. Лезвие  закалено индукционным методом и держит заточку при самых тяжёлых условиях работы. Обрезиненная фиберглассовая рукоятка гасит вибрацию от удара и обеспечивает надёжный захват.""]","[""https://leroymerlin.ru/product/topor-soyuz-1015-05-800s-93864624/""]"
521fca171f5b181b57994b7e01f280b1af96c6a8a352c3da7559c88a93edee90,"[""Арт. 93864629""]","[""Топор Sturm! 1015-06-FR0800""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864629.jpg"",""path"":""Топор Sturm! 1015-06-FR0800/93864629.jpg"",""checksum"":""37965e9880666594537040dc8bb021c2"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864629_01.jpg"",""path"":""Топор Sturm! 1015-06-FR0800/93864629_01.jpg"",""checksum"":""11ce19d07ff2c36cfcc290f111c2a109"",""status"":""downloaded""}]",[880],"[{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""1.2"",""Страна производства"":""Китай"",""Материал ручки"":""Стекловолокно/Фибергласс"",""Марка"":""STURM!"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""1015-06-FR0800 Топор 800г. Кованый боек, полностью обрезин. рукоятка Sturm! Топор изготовлен из кованой высококачественной стали, что обеспечивает сохранение формы на протяжении всего срока службы. Усиленное лезвие  закалено индукционным методом и держит заточку при самых тяжёлых условиях работы. Полностью обрезиненная фиберглассовая рукоятка гасит вибрацию от удара и обеспечивает надёжный захват по всей длине. Специальное порошковое антикоррозионное покрытие топора увеличивает срок службы инструмента.""]","[""https://leroymerlin.ru/product/topor-sturm-1015-06-fr0800-93864629/""]"
d9c4f089fe405b7f12161a34d2f52f54dc6d204429daa2cf94798c2a6d553c85,"[""Арт. 93864626""]","[""Топор СОЮЗ 1015-06-600С""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93864626.jpg"",""path"":""Топор СОЮЗ 1015-06-600С/93864626.jpg"",""checksum"":""d85af16f250be1a5e342f80b0fa6e925"",""status"":""downloaded""}]",[620],"[{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.9"",""Страна производства"":""Китай"",""Материал ручки"":""Дерево"",""Марка"":""СОЮЗ"",""Гарантия (лет)"":""0."",""Основной материал"":""Сталь"",""Тип продукта"":""Топор""}]","[""015-06-600С Топор 600 гр, ДЕРЕВЯННАЯ РУКОЯТКА, КОВАНАЯ СТАЛЬ СОЮЗ Топор с деревянной рукояткой используется для колки, рубки, тески древесины, вырубке в ней пазов. Его вес обеспечивает большую силу удара при работе. Длительный срок службы и безопасность. Топорище (голова) изготовлено из штампованной инструментальной стали высокого качества. Утолщение у основания рукоятки, покрытое не проскальзывающим лаком, предотвращает соскальзывание ладони при работе. Рукоятка имеет удобную форму, обеспечивает надёжный хват во время работы.""]","[""https://leroymerlin.ru/product/topor-soyuz-1015-06-600s-93864626/""]"
0ca4a5f5538079865bfe7485a5e2aaf6c60469125df3bd4a1a881f5831cb6e49,"[""Арт. 93907678""]","[""Топор Kraftool 20660-05""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93907678.jpg"",""path"":""Топор Kraftool 20660-05/93907678.jpg"",""checksum"":""612a699e1b61fb455e5fc65b75d59a50"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93907678_01.jpg"",""path"":""Топор Kraftool 20660-05/93907678_01.jpg"",""checksum"":""b445bd4172a62ef637ff73a1544646ce"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93907678_02.jpg"",""path"":""Топор Kraftool 20660-05/93907678_02.jpg"",""checksum"":""69f53e48685e504e9c4de1103bc29971"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/93907678_03.jpg"",""path"":""Топор Kraftool 20660-05/93907678_03.jpg"",""checksum"":""9ecfee84f99e1802b1ec427cfe814019"",""status"":""downloaded""}]",[1936],"[{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.6"",""Страна производства"":""Китай"",""Материал ручки"":""Нейлон"",""Марка"":""KRAFTOOL"",""Гарантия (лет)"":""1."",""Основной материал"":""Инструментальная сталь"",""Тип продукта"":""Топор""}]","[""Топор Kraftool 20660-05, предназначен для всех видов плотницких работ. Топор финского типа с рукояткой из армированного нейлона X-Fiber с технологией фиксации головы FixBelt и морозоустойчивой технологией PolarTech - профессиональный инструмент для рубки, колки и тески древесины при агрессивных погодных условиях, морозоустойчивость до -30С.""]","[""https://leroymerlin.ru/product/topor-kraftool-20660-05-93907678/""]"
a3bf19140214403a4e4602255fd5e417e291a3c3c6a4bb3c640b2dd8cecb2f0b,"[""Арт. 82145049""]","[""Топор Новасад, 600 г, деревянная ручка""]","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/82145049.jpg"",""path"":""Топор Новасад, 600 г, деревянная ручка/82145049.jpg"",""checksum"":""7e18d54d7d4081748e81dd8bc41ae3cc"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/82145049_01.jpg"",""path"":""Топор Новасад, 600 г, деревянная ручка/82145049_01.jpg"",""checksum"":""56c84af0b72faf1c9162ecb01a8cb4b3"",""status"":""downloaded""}]",[621],"[{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""},{""Вес, кг"":""0.824"",""Страна производства"":""Китай"",""Марка"":""НОВАСАД"",""Гарантия (лет)"":""1"",""Основной материал"":""Металл"",""Ручка"":""Да"",""Тип продукта"":""Топор""}]","["" — это небольшой, легкий, хорошо сбалансированный садовый топор с деревянным топорищем классической формы. Металлическая часть выполнена из закаленной стали и покрыта черной краской, предохраняющей от коррозии. Вес инструмента — 800 г.""]","[""https://leroymerlin.ru/product/topor-novasad-82145049/""]"
