vacancy_name,employer_name,city,station_name,salary_min,salary_max,salary_currency,vacancy_link,site_address
Старший python-разработчик,ООО Тулстрек,Москва,Кропоткинская,170000,220000,руб.,https://pushkino.hh.ru/vacancy/46531633,https://hh.ru
Python-разработчик,Сбер. IT,Москва,,,,,https://pushkino.hh.ru/vacancy/46558794,https://hh.ru
Middle-Senior Python Backend разработчик,ТОО JOO ANALYTICS,Алматы,,400000,600000,KZT,https://pushkino.hh.ru/vacancy/46684908,https://hh.ru
Middle Python developer,IBA Group,Минск,Уручье,,,,https://pushkino.hh.ru/vacancy/44343327,https://hh.ru
Junior Python developer (в Сочи),ООО Привет,Сочи,,65000,,,https://pushkino.hh.ru/vacancy/45849649,https://hh.ru
"Junior программист python, django, удалённо",KIAN,Барнаул,,,,,https://pushkino.hh.ru/vacancy/46442719,https://hh.ru
Python developer / data engineer (Jun->Mid),Wunder Fund,Москва,,120000,150000,руб.,https://pushkino.hh.ru/vacancy/46392030,https://hh.ru
Разработчик Python,ООО Доверенная среда,Москва,Румянцево,180000,,,https://pushkino.hh.ru/vacancy/46717683,https://hh.ru
Разработчик Python ( middle),ООО Диджитал Энерджи,Москва,,170000,230000,руб.,https://pushkino.hh.ru/vacancy/46495424,https://hh.ru
Junior разработчик Python Django,ООО Инсейлс Рус,Москва,Комсомольская,40000,80000,руб.,https://pushkino.hh.ru/vacancy/45517979,https://hh.ru
Программист Python,ООО Артистраж,Москва,,60000,200000,руб.,https://pushkino.hh.ru/vacancy/46539766,https://hh.ru
Python-разработчик,FunBox,Санкт-Петербург,,130000,,,https://pushkino.hh.ru/vacancy/46412760,https://hh.ru
Python-разработчик,ivi,Москва,Дмитровская,200000,250000,руб.,https://pushkino.hh.ru/vacancy/45309802,https://hh.ru
"Python-разработчик (Django, DRF)",ООО Фабрика Решений,Москва,Сухаревская,60000,150000,руб.,https://pushkino.hh.ru/vacancy/39736489,https://hh.ru
Программист Python (удаленно),Diamond Personnel R&C,Москва,,200000,280000,руб.,https://pushkino.hh.ru/vacancy/46694366,https://hh.ru
Junior+ Python Back End Developer,EVO,Киев,,,2000,USD,https://pushkino.hh.ru/vacancy/46309261,https://hh.ru
Junior Python Developer,ООО НТехЛаб,Москва,Белорусская,,,,https://pushkino.hh.ru/vacancy/46391520,https://hh.ru
Python Developer,ИП Шпак Виктория Сергеевна,Москва,,200000,350000,руб.,https://pushkino.hh.ru/vacancy/46660773,https://hh.ru
Программист Python,Метр Квадратный,Москва,,210000,,,https://pushkino.hh.ru/vacancy/45943518,https://hh.ru
Стажер-разработчик Python,ООО СЕРВИСХАБ,Владимир,,30000,,,https://pushkino.hh.ru/vacancy/45928486,https://hh.ru
Python-разработчик,УП ВЕБ СОЛЮШЕНС,Минск,,2300,,,https://pushkino.hh.ru/vacancy/46251657,https://hh.ru
